,index,Number,Title,Description,Link
29,29,"Season 2, Episode 1",Amsterdam Apartment Aspirations,"Stacey Jones is a transplant from England who moved to Amsterdam for a change of pace. She has been living with roommates in a rented apartment close to the city center, but the apartment is being sold and she can't afford to purchase it. She has decided to leave renting behind and strike out on her own by purchasing something she can afford. Real estate agent Johann Overeem signs on to help with her search.",https://www.hgtv.com/shows/house-hunters-international/episodes/amsterdam-apartment-aspirations
30,30,"Season 2, Episode 2",Going Larger in the City of Lights,"Newlyweds Bérénice and Loïg Raoul have been living in a '70s-era one-room flat in the historic first district of Paris, where Loïg hopes to run for city council. They would like a larger place with two bedrooms in a historic Parisian building. They realize that a flat in the center of Paris with their $480,000 (US) budget will be difficult, so they've asked agent Jérôme Cacarié to shine the way in the city of lights.",https://www.hgtv.com/shows/house-hunters-international/episodes/going-larger-in-the-city-of-lights
31,31,"Season 2, Episode 3",Wanted: Permanent Parisian Pad,"Romayne Wright, originally from England, is a single career woman who now rents a place in Paris' artistic neighborhood district. She works in marketing for an auto company and is on the road five days a week. When she is at home, though, she loves the neighborhood and has recently decided to make it her permanent home. She likes her one-bedroom rental and would buy it if she could, but it's not for sale. She's on the hunt for a unit with high ceilings and would love a bathtub so she can really unwind when at home. Room for a home office and more living space are also on the top of her wish list. Relocation expert Tanya Halton tackles the challenge.",https://www.hgtv.com/shows/house-hunters-international/episodes/wanted-permanent-parisian-pad
32,32,"Season 2, Episode 4",Belizean Beach House,"Trudy and Larry Troiano relocated to West Palm Beach, Fla., more than three years ago, and the location is perfect for them—it's close to family and southern Florida beaches. In fact, Trudy loves the tropical lifestyle so much she's decorated their home with murals of palm trees, tropical fish and flowers. But now these two are ready to find a REAL tropical paradise on the beach! Their perfect location? The island of Ambergris Caye in Belize. Ambergris Caye is the largest island in the country and boasts white sand beaches, crystal blue waters and a laidback lifestyle. So with a budget of $650,00 (US) and the help of independent broker Diane Campbell, the Troianos are ready to find their Belizean Beach House.",https://www.hgtv.com/shows/house-hunters-international/episodes/belizean-beach-house
33,33,"Season 2, Episode 5",Costa Rican Getaway Goal,"Kate and Matt Shaw are always on the move. He's busy with a booming real estate business, and her days are filled with toting around their two small sons, Luke and Justin. Although they live near the beach in Jupiter, Fla., their day-to-day lives leave little time for surfer Matt to catch a wave, or for the family to have quality time together. They are ready to buy a vacation home in the Central American country of Costa Rica. Real estate agents Lourdes Brechu and Patrick Heaney hope to help the Shaws find a place where they can go to slam the brakes on their normally crazy pace.",https://www.hgtv.com/shows/house-hunters-international/episodes/costa-rican-getaway-goal
34,34,"Season 2, Episode 6",Leaving for La Paz,"Dennis Seisun moved to San Diego, Calif., after becoming fed up with the constant rain in his home country of Belgium. He and wife Verena raised two children in San Diego and took advantage of all the sunshine and freedom the area has to offer.  But now home prices in San Diego are skyrocketing, and he has convinced the family that it's time to make a bold move south of the border. Real estate agent John Anderson signs on to help them find a casa nueva in La Paz, Mexico.",https://www.hgtv.com/shows/house-hunters-international/episodes/leaving-for-la-paz
35,35,"Season 2, Episode 7",Getting Trendy in Paris,"Samuel Bate is a charming 30-something Parisian who has been wanted to start his life over for the last three years. After a breakup left him alone and in need of a place to live, he rented a tiny studio apartment far from the heart of Paris. Now he wants to buy a new apartment in a trendy neighborhood in Paris that is more suited for a bachelor who wants more space and in an area where there is more to do. He would like to find a home that has at least one bedroom, parking and a nice kitchen. Real estate agent Marie Sarro signs on to help with the search.",https://www.hgtv.com/shows/house-hunters-international/episodes/getting-trendy-in-paris
36,36,"Season 2, Episode 8",Retiring to the Islands,"Garden State natives Fran and Bob Schmitt are ready to flee the cold of Forked River, N.J., and retire to the island oasis of St. Maarten. Fran has always said that the stork dropped her in the wrong spot, and after they cruised the Caribbean a few years ago, she knew she was meant to live on a tropical island. With the first blast of winter on its way to New Jersey, this couple is eager to find their own island paradise before the first cold snap. Real estate agent Arun Jagtiani signs on to help make that happen.",https://www.hgtv.com/shows/house-hunters-international/episodes/retiring-to-the-islands
37,37,"Season 2, Episode 9",Time for Tuscan Home of Their Own,"Sergio Lucchesi and wife Jane Wertheimer decided to raise their three children, Chiara, Gabbriella, and Leonardo, in the medieval Tuscan town of Greve-in-Chianti. The family lives in a century-old farmhouse that has been divided into three private villas, each with an incredible view of the famous Tuscan countryside. Unfortunately, they share more than the view with the neighbors--they also share walls, the yard and the driveway. After nine years, they are ready to move their family into a stand-alone house with lots of land, a pool and that same amazing view. They are hoping to find the right home within their budget, and realtor Marinella Coppi intends to help with the hunt.",https://www.hgtv.com/shows/house-hunters-international/episodes/time-for-tuscan-home-of-their-own
38,38,"Season 2, Episode 10",Bursting at the Seams in Buxton,"Rachel and John Atkinson have been married for five years, and have five children. While the couple loves their current home in Buxton, England, they need more outdoor space for their kids to run around. They're also looking for room to build a small cottage for Rachel's mom, who could use the convenience of having her family close by. Hoping to spend about $450,000 American dollars, this couple is looking for something with lots of charm, character and potential and a minimum of four bedrooms.  Real estate agent Deborah Hollamby has three very different properties to show the and couple, and is convinced she can help them find their ideal Buxton home.",https://www.hgtv.com/shows/house-hunters-international/episodes/bursting-at-the-seams-in-buxton
39,0,"Season 2, Episode 11","Same Town, Smaller Home","Jenny and James Tweats have been married for seven years and have two little boys, 5-year-old Ben and 3-year-old Sam. The Tweats currently live in a four-bedroom, three-bathroom house in the quiet and beautiful village of Alsager, England. Jenny wants to cut back on the hours she spends teaching school to have more time with her boys, so with less money coming in, they'll need a new home with a lower monthly payment. The Tweats are willing to compromise on space but not on the location—they want to stay in Alsager. They've hired real estate agent Deborah Hollamby to help them with their search.",https://www.hgtv.com/shows/house-hunters-international/episodes/same-town-smaller-home
40,1,"Season 2, Episode 12",Relocating to Rome,"Newlyweds Allison Poulos, a Connecticut native, and Massimo Salerno, an Italian native, are excited to begin their lives together in Rome, Italy, but right now they are living with Massimo's mother, Elsa, in her small flat on the outskirts of the city. The pair need more space for themselves, their wedding gifts, and their dog, Finley, and they want to live much closer to the historic center of Rome. Unfortunately, flats are historically hard to come by there, and are often snatched off the market in days. Agent Marina Carboni signs on to help with the search.",https://www.hgtv.com/shows/house-hunters-international/episodes/relocating-to-rome
41,2,"Season 2, Episode 13",Outward to Orewa,"Brenda and David Goodstone have been married for 10 years and live with their sons in a suburb of Auckland, New Zealand. Five years ago they sold their first home and moved their family into a four-bedroom rental so they could afford to buy a café in Auckland. Their investment paid off and they sold the café for a profit. Now they want to find a house in the popular beach town of Orewa for their twin boys, Blake and Aaron, to call home. They want at least five bedrooms, a garage and space for a pool. Real estate Brett Bogue signs on to help the Goodstones with their quest.",https://www.hgtv.com/shows/house-hunters-international/episodes/outward-to-orewa
42,3,"Season 3, Episode 1",British Couple Buys Vacation Home by the Beach in Thailand,"Sweethearts Julie and Mark Taylor got married 5 years ago and currently live in a long narrow house that used to be the local sweet shop. They fell in love with Thailand while on vacation there and want to buy a second home there. They want a place that is modern in style and with at least 2 bedrooms and 2 bathrooms. They'd love to have a large patio with sea views too. Their budget is $440,000 US and with three amazing choices they have a tough decision to make.",https://www.hgtv.com/shows/house-hunters-international/episodes/british-couple-buys-vacation-home-by-the-beach-in-thailand
43,4,"Season 3, Episode 2",Buying a First Home on the Island of St. Thomas,"Moneca Pinkett has lived on St. Thomas for five years and she's ready to make the Virgin Islands her permanent home.  Since she runs her own internet business, she is looking for a home where she can relax and work. Outdoor space and an ocean view are high on her wish-list, as well as space for a home office. Living in the tropics can be expensive, so Moneca is also hoping to find a place with a separate unit that she can rent out that works within her budget of $450,000.",https://www.hgtv.com/shows/house-hunters-international/episodes/32-year-old-moneca-pinkett-is-buying-her-first-home-on-the-island-of-st-thomas
44,5,"Season 3, Episode 3",Fitness Pros Escape the Heat in Fiji,"Nichole and Jeremy both work in the fitness industry - she's a personal trainer and he runs a fitness website. They live in Chandler Ariz., which is great for about six months of the year, but the rest of the time it's brutally hot. Since they can work from anywhere, they've decided to buy a vacation home in Fiji so they can live at least part of the year there. They want a home with 3 or 4 bedrooms that's in the $350,000 to $400,000 price range. They also desire a large kitchen, an open floor plan, and an ocean view.  With three spectacular vacation homes to choose from, Nichole and Jeremy have a tough decision to make.",https://www.hgtv.com/shows/house-hunters-international/episodes/arizona-fitness-pros-want-to-escape-the-heat-by-buying-a-second-home-in-fiji
45,6,"Season 3, Episode 4",Getaways in the Dominican Republic,"Patrick and Diane love life in their large, comfortable home in the suburbs of New Jersey.  But when the winter days get longer, darker, and colder, they find themselves dreaming of beach chairs and sunshine.  They started vacationing in the Dominican Republic several years ago, mostly because their good friend Ina lives there, and they've fallen in love with the place.  They're ready to buy a vacation home of their own, and welcome the help of their friend Ina, a real estate consultant.  With a limited budget of $200,000, their wish list calls for two bedrooms, two baths and low-maintenance.  Will they be able to find their own bit of paradise?",https://www.hgtv.com/shows/house-hunters-international/episodes/real-estate-consultant-ina-hapke-shows-her-dear-friends-patrick-and-diane-beach-getaways-in-the-dominican-republic
46,7,"Season 3, Episode 5",Vacation Cabin on the Placencia Peninsula in Belize,"Canadians Antonio and Alison Marquez have been living in Victoria, British Columbia for more than 10 years now,  traveling to warmer climates during the vicious winters.  They decided to buy a vacation home in Belize where they can spend the winter holidays basking in the sun.  The biggest challenge is finding the right property for that's within their $150,000 budget and is a short walk to the beach.  Their needs are pretty simple - a one-room cabin would be fine, as long as it has a view of the water, good-sized kitchen and enough room to have a living area and bedroom space.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-couple-want-to-escape-the-brutal-canadian-winters-and-buy-a-vacation-cabin-on-the-placencia-peninsula-in-belize
47,8,"Season 3, Episode 1",Searching for Stockholm Space,Follow an American art student searching for a space to spread his creativity in Stockholm Sweden.,https://www.hgtv.com/shows/house-hunters-international/episodes/searching-for-stockholm-space
48,9,"Season 3, Episode 2",Escape to Costa Rica,Join a couple searching for the perfect tropical respite from their otherwise hectic lives.,https://www.hgtv.com/shows/house-hunters-international/episodes/escape-to-costa-rica
49,10,"Season 3, Episode 3",More Space in St. Maarten,"Two bedrooms; two baths; by the beach; for only $200,000? Now that's a tall order!",https://www.hgtv.com/shows/house-hunters-international/episodes/more-space-in-st-maarten
50,11,"Season 3, Episode 4",Turks and Caicos Condo Search,"Christine Morden has enjoyed her fast-paced life as a political attorney in Washington, D.C., but after a decade, she's ready to ditch public policy to pursue her lifelong passion of photography in a new tropical island dream home. She is looking for a spacious condo in the Caribbean islands of Turks & Caicos. She wants to be close to the beach and have a great view for less than $250,000. She enlists real estate agent Lavern Skippings to help with the search.",https://www.hgtv.com/shows/house-hunters-international/episodes/turks-caicos-condo-search
51,12,"Season 3, Episode 5",Making the Move to Mexico,"World traveler and artist Malaya Quinn and her teenage daughter, Grace, have been living in northern California for the last 13 years, but they are beginning to feel a little restless and in need of a change of scenery. In a past visit to the Yucatan, they were really taken by the town of Merida — so much so that they have decided to move down there and buy a place. Enter real estate agent Paula Sievert, who is pretty confident that she can find a small Colonial within their budget in the historic part of Merida.",https://www.hgtv.com/shows/house-hunters-international/episodes/making-the-move-to-mexico
52,13,"Season 3, Episode 6",Second Home in Italy,"Most of the time, Clara and Alex Thole enjoy the breathtaking view of Puget Sound from their Mediterranean-style home in Mukilteo, Wash. Their other days are spent discovering destinations across the country and around the world. For Clara, one location holds a special place in her heart -- Montoggio, Italy, the home of her heritage. Hoping to reconnect with her Italian roots, the Tholes have given themselves a budget of $200,000 and three weeks to find their own piece of Italy.",https://www.hgtv.com/shows/house-hunters-international/episodes/second-home-in-italy
53,14,"Season 3, Episode 7",Heading South to Italy,"John Dalrymple, an engineer, and his wife Rina, a potter, rent a tiny 19th-century cottage outside Amsterdam, Holland. After three years they have come to the realization that the place is simply too small for all of their stuff. They have decided to pack up their home and head south — all the way south to Italy! They have discovered the small hilltop town of Guardia Lombardi. The charming town overlooks chestnut trees, farms and vineyards and has a population of just over 1,000 people. Real estate agent Annie Temple thinks she can help find something ideal for this couple.",https://www.hgtv.com/shows/house-hunters-international/episodes/heading-south-to-italy
54,15,"Season 3, Episode 8",Buenos Aires Bound,"After nine years of living the laid-back lifestyle in the resort seaside town of Punta Del Este, Uruguay, Patricia Giuria and husband Pablo Tringolo are ready to pick up the pace by moving 200 miles southwest to Buenos Aires, Argentina. They are looking for a place that's big enough for their two dogs, Bob and Maximo, and is within walking distance to Giuria's new job. Real estate agent Armando Terzakyan tackles the challenge.",https://www.hgtv.com/shows/house-hunters-international/episodes/buenos-aires-bound
55,16,"Season 3, Episode 9",New Aruban Address,"Mercy and Joe Flak would like to find a home on Aruba with more space than the 1,900 square feet they currently have.  With their daughters Kiana, 6 and Kyra, 3, plus Mercy's sister Myrna living with them, they have a lot of needs to meet.  They need at least four bedrooms and plenty of space for the girls' all-consuming toy collection. They would also love to have a great ocean view and golf course access. They decide to look in the exclusive Tierra del Sol golf club and have asked sales agent Bob Elwood for help.",https://www.hgtv.com/shows/house-hunters-international/episodes/new-aruban-address
56,17,"Season 3, Episode 10",New to New Zealand,"Inspired by several Hollywood films showcasing New Zealand's beautiful terrain, California natives Cathie and Mike Koosmann decided to visit the country and see it for themselves. They loved visiting the area of Auckland called Whangarei so much that they decided to make a huge life change and move there. They called local real estate agent Suzie Jones to help them find a piece of property with lots of land, an ocean view and plenty of ""living"" space. Relocating to one of the least-populated countries in the world has many challenges, but the Koosmans are ready for the tasks ahead.",https://www.hgtv.com/shows/house-hunters-international/episodes/new-to-new-zealand
57,18,"Season 3, Episode 11",Moving to Managua,"Deneen and Brian Wargo make their living working in water, specifically the warm waters of Hawaii. She helms a submarine for a tourism company, and he works for a tourist fishing company. Although they like living close to the water in their two-bedroom, two-bath condo, this active couple is running out of space. One visit to Costa Rica and neighboring Nicaragua opened their eyes to new opportunities and new surf to explore. With just as much beautiful scenery, a cheaper cost of living and a growing Nicaraguan tourism market, the city of Managua is the place where this couple wants to drop their next anchor. Real estate agent and fellow surfer, Barry Oliver, signs on to help this couple find a place that suits their needs.",https://www.hgtv.com/shows/house-hunters-international/episodes/moving-to-managua
58,19,"Season 3, Episode 12",Looking to Own in Jamaica,"Jenny and Matthew Pragnell and their three sons have lived in a two-story town home in Kingston, Jamaica, for seven years. Now that their three boys aren't so little anymore, it's time for a bigger house. The Pragnells are renters, not owners, so making changes to their home is not allowed. They are eager to jump into the Kingston real estate market, but they have a limited budget and there is little inventory of homes for purchase. It's not uncommon in Kingston for potential buyers to wait a full year for their ideal home to become available. Real estate agent Allison Machado certainly has her work cut out for her.",https://www.hgtv.com/shows/house-hunters-international/episodes/looking-to-own-in-jamaica
